name,chembl_id,smiles,predicted_affinity,predicted_hit_prob,scaffold
NEFOPAM HYDROCHLORIDE,CHEMBL1407915,CN1CCOC(c2ccccc2)c2ccccc2C1.Cl,-4.0669997705829415,0.2428640250740336,c1ccc(C2OCCNCc3ccccc32)cc1
ISOSORBIDE DINITRATE,CHEMBL6622,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],-4.066154523265607,0.2401152772913588,C1C[C@H]2OCC[C@H]2O1
PHENOXYBENZAMINE HYDROCHLORIDE,CHEMBL1200787,CC(COc1ccccc1)N(CCCl)Cc1ccccc1.Cl,-4.058969233239094,0.2441480271144138,c1ccc(CNCCOc2ccccc2)cc1
PARAMETHADIONE,CHEMBL1100,CCC1(C)OC(=O)N(C)C1=O,-4.058181052095509,0.1973307865826117,O=C1COC(=O)N1
THIOTEPA,CHEMBL671,S=P(N1CC1)(N1CC1)N1CC1,-4.055452352625188,0.2200257437557515,S=P(N1CC1)(N1CC1)N1CC1
DIBROMSALAN,CHEMBL21869,O=C(Nc1ccc(Br)cc1)c1cc(Br)ccc1O,-4.055229473975587,0.3289643140834085,O=C(Nc1ccccc1)c1ccccc1
PROMETHAZINE,CHEMBL643,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,-4.052603072394881,0.2542954147156288,c1ccc2c(c1)Nc1ccccc1S2
TRAMADOL,CHEMBL1237044,COc1cccc(C2(O)CCCCC2CN(C)C)c1,-4.048893757545534,0.2488954698153328,c1ccc(C2CCCCC2)cc1
LEFLUNOMIDE,CHEMBL960,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,-4.046390003107577,0.3110248077546831,O=C(Nc1ccccc1)c1cnoc1
TERBINAFINE HYDROCHLORIDE,CHEMBL1200832,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12.Cl,-4.034777484614991,0.259442550427013,c1ccc2ccccc2c1
PROTRIPTYLINE HYDROCHLORIDE,CHEMBL1200332,CNCCCC1c2ccccc2C=Cc2ccccc21.Cl,-4.022458552509463,0.2700820248599795,C1=Cc2ccccc2Cc2ccccc21
TRIMETHADIONE,CHEMBL695,CN1C(=O)OC(C)(C)C1=O,-4.021196603857118,0.2252332793906039,O=C1COC(=O)N1
SULFAMETHOXYPYRIDAZINE,CHEMBL268869,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,-4.017345464748661,0.2385178391851055,O=S(=O)(Nc1cccnn1)c1ccccc1
NICLOSAMIDE,CHEMBL1448,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.011707559549094,0.3215166944728436,O=C(Nc1ccccc1)c1ccccc1
METHYLHOMATROPINE,CHEMBL1201235,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,-4.007212461639468,0.2568803986752001,O=C(Cc1ccccc1)O[C@H]1C[C@H]2CC[C@@H](C1)[NH2+]2
