name,best_affinity,z_score,hit_level,family,source,repo_score,scaffold
TELBIVUDINE,-6.077,-0.399049643608041,L5_Weak,Other,chembl_ml_screen,3.0,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1
URACIL MUSTARD,-6.054,-0.38256343342764637,L5_Weak,Other,chembl_ml_screen,3.0,c1cncnc1
PHENDIMETRAZINE,-6.053,-0.38184664168067245,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc([C@H]2CNCCO2)cc1
SULFATHIAZOLE,-6.053,-0.38184664168067245,L5_Weak,Other,chembl_ml_screen,3.0,O=S(=O)(Nc1nccs1)c1ccccc1
DOBUTAMINE,-6.043,-0.3746787242109357,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(CCCNCCc2ccccc2)cc1
INAMRINONE,-6.033,-0.36751080674119896,L5_Weak,Other,chembl_ml_screen,3.0,O=c1ccc(-c2ccncc2)c[nH]1
THIOGUANINE,-6.026,-0.36249326451238273,L5_Weak,Other,chembl_ml_screen,3.0,S=c1[nH]cnc2[nH]cnc12
PROPYLTHIOURACIL,-6.022,-0.35962609752448826,L5_Weak,Other,chembl_ml_screen,3.0,O=c1cc[nH]c(=S)[nH]1
Flufenamic_Acid,-6.741,-0.6559978855738271,L5_Weak,Fenamate,hand_picked,1.0,c1ccc(Nc2ccccc2)cc1
Norbiotin,-6.739,-0.655508536373878,L5_Weak,Biotin_analog,hand_picked,1.0,O=C1NC2CSCC2N1
L-Phenylalanine,-6.721,-0.6511043935743357,L5_Weak,Amino_acid,hand_picked,1.0,c1ccccc1
Niflumic_Acid,-6.72,-0.6508597189743611,L5_Weak,Fenamate,hand_picked,1.0,c1ccc(Nc2ccccn2)cc1
Meclofenamic_Acid,-6.574,-0.6151372273780734,L5_Weak,Fenamate,hand_picked,1.0,c1ccc(Nc2ccccc2)cc1
Gemfibrozil,-6.534,-0.6053502433790905,L5_Weak,Other,hand_picked,1.0,c1ccccc1
Oxaprozin,-6.532,-0.6048608941791415,L5_Weak,Other,hand_picked,1.0,c1ccc(-c2ccno2)cc1
Hippuric_Acid,-6.485,-0.5933611879803365,L5_Weak,Carboxylic_acid,hand_picked,1.0,c1ccccc1
Biotin_Methyl_Ester,-6.426,-0.5789253865818368,L5_Weak,Biotin_analog,hand_picked,1.0,O=C1NC2CSCC2N1
Azelaic_Acid,-6.394,-0.5710957993826504,L5_Weak,Carboxylic_acid,hand_picked,1.0,
Sebacic_Acid,-6.334,-0.5564153233841759,L5_Weak,Carboxylic_acid,hand_picked,1.0,
Levodopa,-6.308,-0.550053783784837,L5_Weak,Amino_acid,hand_picked,1.0,c1ccccc1
Pantothenic_Acid,-6.283,-0.5439369187854729,L5_Weak,Carboxylic_acid,hand_picked,1.0,
L-Tyrosine,-6.23,-0.5309691649868206,L5_Weak,Amino_acid,hand_picked,1.0,c1ccccc1
Fenbufen,-6.207,-0.5253416491874052,L5_Weak,Other,hand_picked,1.0,O=C(CCc1ccccc1)c1ccccc1
Hydrochlorothiazide,-6.178,-0.5182460857881427,L5_Weak,Other,hand_picked,1.0,O=S1(=O)NCNc2ccccc21
Fluoxetine,-6.133,-0.5072357287892869,L5_Weak,Other,hand_picked,1.0,c1ccc(COc2ccccc2)cc1
Tolfenamic_Acid,-6.127,-0.5057676811894394,L5_Weak,Fenamate,hand_picked,1.0,c1ccc(Nc2ccccc2)cc1
Phenylacetic_Acid,-6.116,-0.503076260589719,L5_Weak,Carboxylic_acid,hand_picked,1.0,c1ccccc1
Tranexamic_Acid,-6.113,-0.5023422367897955,L5_Weak,Carboxylic_acid,hand_picked,1.0,C1CCCCC1
Nabumetone,-6.079,-0.4940233003906599,L5_Weak,Other,hand_picked,1.0,c1ccc2ccccc2c1
Probenecid,-6.003,-0.47542803079259244,L5_Weak,Other,hand_picked,1.0,c1ccccc1
Aspirin,-6.676,-0.64009403657548,L5_Weak,Other,hand_picked,0.0,c1ccccc1
