name,chembl_id,smiles,predicted_affinity,predicted_hit_prob
LEVONORDEFRIN,CHEMBL677,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,-4.834079433394016,0.23518242441974277
ACEFYLLINE,CHEMBL70246,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,-4.833918491428697,0.33442155393097095
PYRIDOSTIGMINE BROMIDE,CHEMBL812,CN(C)C(=O)Oc1ccc[n+](C)c1.[Br-],-4.832390459161918,0.2855031750767478
PHENTERMINE HYDROCHLORIDE,CHEMBL1200912,CC(C)(N)Cc1ccccc1.Cl,-4.831415372156582,0.31260158808132343
RASAGILINE,CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,-4.83069740699928,0.25810018947649505
IBUPROFEN SODIUM,CHEMBL3989408,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.O.O.[Na+],-4.827994847776812,0.26721748489042146
PRONETALOL,CHEMBL16476,CC(C)NCC(O)c1ccc2ccccc2c1,-4.82760191262352,0.28838960921837625
HEXYLRESORCINOL,CHEMBL443605,CCCCCCc1ccc(O)cc1O,-4.82746108610099,0.29491729083037677
EPHEDRINE HYDROCHLORIDE,CHEMBL2146102,CN[C@@H](C)[C@H](O)c1ccccc1.Cl,-4.827357856420551,0.26428757034026745
PSEUDOEPHEDRINE HYDROCHLORIDE,CHEMBL1200724,CN[C@@H](C)[C@@H](O)c1ccccc1.Cl,-4.827357856420551,0.26428757034026745
PHENTERMINE,CHEMBL1574,CC(C)(N)Cc1ccccc1,-4.827236606283566,0.2983874478896725
ZILEUTON,CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,-4.826799435657465,0.32239363329961596
LOFEXIDINE,CHEMBL17860,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,-4.825707948771294,0.2828200575349995
LORCASERIN,CHEMBL360328,C[C@H]1CNCCc2ccc(Cl)cc21,-4.8250027138376,0.2681807439034169
LISDEXAMFETAMINE,CHEMBL1201222,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,-4.824697380185071,0.37811082177574135
SULFUR HEXAFLUORIDE,CHEMBL1796998,FS(F)(F)(F)(F)F,-4.822733864409316,0.2107625387259396
LEVOCARNITINE,CHEMBL1149,C[N+](C)(C)C[C@H](O)CC(=O)[O-],-4.820831747649084,0.21953251911263658
LEVACETYLLEUCINE,CHEMBL56021,CC(=O)N[C@@H](CC(C)C)C(=O)O,-4.815802081101279,0.2623838659404032
TRICLOSAN,CHEMBL849,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-4.815567731600833,0.36736524028130246
MELPHALAN,CHEMBL852,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,-4.815253835645033,0.4502478120100583
MESALAMINE,CHEMBL704,Nc1ccc(O)c(C(=O)O)c1,-4.815101007580732,0.4168484635794211
AMINOSALICYLIC ACID,CHEMBL1169,Nc1ccc(C(=O)O)c(O)c1,-4.815101007580732,0.4168484635794211
PENTOXIFYLLINE,CHEMBL628,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,-4.814442103457689,0.3118160180568869
TIPIRACIL,CHEMBL235668,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,-4.812594019209309,0.32134310568549285
