name,best_affinity,source
"3-(2-fluoro-3-propan-2-ylphenyl)piperidine-2,6-dio",-7.705,glutarimide
"2-(aziridin-1-yl)naphthalene-1,4-dione",-7.705,glutarimide
"4-methyl-4-phenylpiperidine-2,6-dione",-7.7,pathc_v2
(5S)-5-[(Z)-but-2-en-2-yl]-5-ethyl-1-methyl-1,-7.698,pathc_v2
"2-(1,3-dioxoisoindol-2-yl)acetamide",-7.697,glutarimide
"5-ethyl-5-(2-phenylpropyl)-1,3-diazinane-2,4,",-7.695,pathc_v2
"5-ethyl-5-pent-2-en-3-yl-1,3-diazinane-2,4,6-",-7.693,pathc_v2
"N-(1,1-difluoropropyl)-2-phenylacetamide",-7.691,glutarimide
"2-(1,3-dioxoisoindol-2-yl)acetyl chloride",-7.691,glutarimide
"(5S)-5-butyl-1-methyl-5-prop-1-en-2-yl-1,3-di",-7.69,pathc_v2
"3-(3-ethenyl-4-methyl-2,5-dioxopyrrol-1-yl)piperid",-7.69,glutarimide
"(1S,5S)-1-[3-fluoro-5-(trifluoromethyl)phenyl]-3-a",-7.688,glutarimide
"5-ethyl-5-pent-2-en-3-yl-1,3-diazinane-2,4-di",-7.688,pathc_v2
"4-(1,3-dioxoisoindol-2-yl)butanamide",-7.685,glutarimide
"4,4-dimethylisoquinoline-1,3-dione",-7.68,pathc_v2
"3-(2,5-dioxopyrrol-1-yl)piperidine-2,6-dione",-7.679,glutarimide
1-(3-phenylpropanoyl)piperidin-2-one,-7.677,glutarimide
APROBARBITAL,-7.675,docking_batch_results.csv
3-methyl-4-[(2S)-5-oxopyrrolidine-2-carbonyl]piper,-7.673,glutarimide
"3-[3-[methyl(2-oxopropyl)amino]-2,5-dioxopyrrol-1-",-7.671,glutarimide
2-(1-ethylpiperidin-4-yl)-3-oxo-1H-isoindole-4-car,-7.67,glutarimide
"2-(butylamino)naphthalene-1,4-dione",-7.669,glutarimide
BUTABARBITAL,-7.667,screening_master_results.csv
5-Hydroxytryptophan,-7.664,screening_master_results.csv
TASIMELTEON,-7.661,docking_batch_results.csv
"3-[(4-chloro-2-fluorophenyl)methyl]piperidine-2,6-",-7.654,glutarimide
"2-(2,6-dioxopiperidin-3-yl)-4-fluoroisoindole-1,3-",-7.654,glutarimide
"4-ethyl-4-(4-fluorophenyl)piperidine-2,6-dione",-7.653,glutarimide
"5-methyl-5-(4-methylpentan-2-yl)-1,3-diazinan",-7.653,pathc_v2
"(3R)-3-(2,6-difluoro-3-propan-2-ylphenyl)piperidin",-7.653,glutarimide
"5-ethyl-5-(2-methylpropyl)-1,3-diazinane-2,4,",-7.652,pathc_v2
N-acetyl-2-phenylacetamide,-7.652,pathc_v2
"(Z)-2-azido-1,3-diphenylprop-2-en-1-one",-7.652,glutarimide
3-(7-methylselanyl-3-oxo-1H-isoindol-2-yl)piperidi,-7.649,glutarimide
"4-(1,3-dioxoisoindol-2-yl)butanoyl chloride",-7.649,glutarimide
3-(4-chlorophenyl)pentanediamide,-7.646,glutarimide
