name,best_affinity,all_affinities
RITODRINE,-5.475,"[-5.475, -5.474, -5.15, -5.045, -4.124, 0.0, 1.0, 10.0, 16.0]"
FLUOROURACIL,-5.465,"[-5.465, -5.327, -5.316, -5.22, -5.116, 0.0, 1.0, 10.0, 16.0]"
MUZOLIMINE,-5.456,"[-5.456, -5.249, -5.234, -4.881, -4.793, 0.0, 1.0, 10.0, 16.0]"
ARIMOCLOMOL,-5.446,"[-5.446, -5.28, -4.889, -4.841, -4.503, 0.0, 1.0, 10.0, 16.0]"
VENLAFAXINE,-5.431,"[-5.431, -4.562, -3.808, -3.679, -3.39, 0.0, 1.0, 10.0, 16.0]"
KETOPROFEN,-5.427,"[-5.427, -4.936, -4.628, -4.464, -4.402, 0.0, 1.0, 10.0, 16.0]"
DYPHYLLINE,-5.423,"[-5.423, -5.132, -4.853, -4.715, -4.705, 0.0, 1.0, 10.0, 16.0]"
DIPHENHYDRAMINE,-5.421,"[-5.421, -5.312, -5.126, -5.114, 0.0, 1.0, 10.0, 16.0]"
"GLYCEROL, IODINATED",-5.408,"[-5.408, -5.057, -4.96, -4.887, -4.668, 0.0, 1.0, 10.0, 16.0]"
ARMODAFINIL,-5.406,"[-5.406, -5.254, -4.912, -4.604, -4.559, 0.0, 1.0, 10.0, 16.0]"
PIRACETAM,-5.398,"[-5.398, -5.36, -5.335, -5.325, -5.253, 0.0, 1.0, 10.0, 16.0]"
BENZNIDAZOLE,-5.392,"[-5.392, -5.148, -4.866, -4.494, -4.411, 0.0, 1.0, 10.0, 16.0]"
NAPROXEN,-5.378,"[-5.378, -5.181, -4.828, -4.22, -3.176, 0.0, 1.0, 10.0, 16.0]"
DEFERIPRONE,-5.378,"[-5.378, -5.346, -5.298, -5.195, -5.147, 0.0, 1.0, 10.0, 16.0]"
NIACINAMIDE,-5.371,"[-5.371, -5.337, -5.289, -5.125, -4.991, 0.0, 1.0, 10.0, 16.0]"
