name,smiles,ml_score
CIMETIDINE HYDROCHLORIDE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N.Cl,-4.555310268562688
AMIFOSTINE,NCCCNCCSP(=O)(O)O,-4.545484439336928
PINACIDIL ANHYDROUS,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C,-4.543565553575503
STIRIPENTOL,CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,-4.543204798649369
ORNIDAZOLE,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,-4.5419733835069405
PYRIDOXINE HYDROCHLORIDE,Cc1ncc(CO)c(CO)c1O.Cl,-4.537850545114732
PINACIDIL,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C.O,-4.533493176879834
NITROFURANTOIN SODIUM,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)[N-]1.[Na+],-4.519876720052829
CYCLOPHOSPHAMIDE,O.O=P1(N(CCCl)CCCl)NCCCO1,-4.514295045691191
PARALDEHYDE,CC1OC(C)OC(C)O1,-4.510689534941578
TRICLOFOS SODIUM,O=P([O-])(O)OCC(Cl)(Cl)Cl.[Na+],-4.508349409324493
CLOFIBRATE,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,-4.500280657782831
DIPHENHYDRAMINE HYDROCHLORIDE,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,-4.496610926129649
CARISOPRODOL,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,-4.4965588978801
FLURBIPROFEN SODIUM,CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1.O.O.[Na+],-4.496450126195999
ISAXONINE PHOSPHATE,CC(C)Nc1ncccn1.O=P(O)(O)O,-4.480626438687287
CHLOROPROCAINE,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,-4.476557801395679
FOSLEVODOPA,N[C@@H](Cc1ccc(OP(=O)(O)O)c(O)c1)C(=O)O,-4.47641074983407
METHAPYRILENE HYDROCHLORIDE,CN(C)CCN(Cc1cccs1)c1ccccn1.Cl,-4.475742958206509
SULFANILAMIDE,Nc1ccc(S(N)(=O)=O)cc1,-4.470816982944958
CLOFOREX,CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1,-4.460551909340751
BUPROPION HYDROBROMIDE,Br.CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,-4.454094388515839
FOSPROPOFOL,CC(C)c1cccc(C(C)C)c1OCOP(=O)(O)O,-4.45248140186165
HEXYLCAINE HYDROCHLORIDE,CC(CNC1CCCCC1)OC(=O)c1ccccc1.Cl,-4.452319237577421
CYSTEAMINE BITARTRATE,NCCS.O=C(O)[C@H](O)[C@@H](O)C(=O)O,-4.451109060583755
SEVOFLURANE,FCOC(C(F)(F)F)C(F)(F)F,-4.450970941265037
RITODRINE HYDROCHLORIDE,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1.Cl,-4.445429833299103
VALPROIC ACID,CCCC(CCC)C(=O)O,-4.439715211504879
ETIDOCAINE,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,-4.438323810106418
