name,best_affinity,all_affinities
"(6S)-5,5-difluoro-6-(fluoromethyl)-6-(2-fluorophen",-7.855,"[-7.855, -7.555, -7.492, -6.752, -5.48, 0.0, 1.0, 10.0, 16.0]"
"4,4,4-trifluoro-2-methyl-2-phenylbutanamide",-7.843,"[-7.843, -7.81, -7.561, -7.536, -7.289, 0.0, 1.0, 10.0, 16.0]"
"(2E,4Z)-N-(2,6-dioxopiperidin-3-yl)-2-methylhepta-",-7.843,"[-7.843, -6.971, -5.971, -5.619, -5.564, 0.0, 1.0, 10.0, 16.0]"
2-phenyl-2-(trifluoromethyl)pentanamide,-7.834,"[-7.834, -7.601, -7.198, -7.155, -7.103, 0.0, 1.0, 10.0, 16.0]"
3-(7-methylsulfanyl-3-oxo-1H-isoindol-2-yl)piperid,-7.828,"[-7.828, -6.207, -5.898, -5.798, -5.476, 0.0, 1.0, 10.0, 16.0]"
"3-(2-phenylethyl)pyrrolidine-2,5-dione",-7.825,"[-7.825, -7.487, -6.785, -6.772, -6.758, 0.0, 1.0, 10.0, 16.0]"
"3-(2,5-difluorophenyl)piperidine-2,6-dione",-7.819,"[-7.819, -6.487, -6.152, -5.636, -5.498, 0.0, 1.0, 10.0, 16.0]"
3-[(4-fluorophenyl)methyl]piperidin-2-one,-7.817,"[-7.817, -7.39, -7.016, -6.943, -6.857, 0.0, 1.0, 10.0, 16.0]"
"(6S)-6-(difluoromethyl)-5,5-difluoro-6-(2-fluoroph",-7.816,"[-7.816, -7.809, -6.906, -3.999, -2.893, 0.0, 1.0, 10.0, 16.0]"
1-[3-(trifluoromethyl)phenyl]cyclopropane-1-carbox,-7.816,"[-7.816, -7.618, -7.411, -6.997, -6.91, 0.0, 1.0, 10.0, 16.0]"
"(6S)-6-(difluoromethyl)-5,5-difluoro-6-phenylpiper",-7.813,"[-7.813, -7.755, -7.318, -6.906, -4.482, 0.0, 1.0, 10.0, 16.0]"
"(3S,10bR)-3-methyl-7-(trifluoromethyl)-2,3,4,10b-t",-7.809,"[-7.809, -7.433, -5.17, -4.699, -4.488, 0.0, 1.0, 10.0, 16.0]"
5-benzyl-3-methylpiperidin-2-one,-7.802,"[-7.802, -7.051, -6.95, -6.872, -6.778, 0.0, 1.0, 10.0, 16.0]"
"3-amino-3,3a-dihydrobenzo[b]phenalen-7-one",-7.802,"[-7.802, -7.769, -6.679, -6.461, -6.378, 0.0, 1.0, 10.0, 16.0]"
"3-(4-iodophenyl)piperidine-2,6-dione",-7.795,"[-7.795, -6.695, -5.258, -4.754, -4.283, 0.0, 1.0, 10.0, 16.0]"
2-(1-phenylcyclohexyl)acetamide,-7.792,"[-7.792, -6.897, -6.801, -6.797, -6.505, 0.0, 1.0, 10.0, 16.0]"
"4-aminonaphthalene-1,2-dione",-7.79,"[-7.79, -7.783, -7.289, -6.851, -6.633, 0.0, 1.0, 10.0, 16.0]"
