name,best_affinity,all_affinities,status
RAMOSETRON,-3.325,"[-3.325, -1.13, -0.116, 0.0, 0.898, 1.0, 1.083, 10.0, 16.0]",
ENTACAPONE,-3.317,"[-3.317, -2.845, -2.073, -1.368, -0.567, 0.0, 1.0, 10.0, 16.0]",
FELODIPINE,-3.263,"[-3.263, -3.014, -2.89, -2.762, -2.219, 0.0, 1.0, 10.0, 16.0]",success
CLONAZEPAM,-3.255,"[-3.255, -2.609, -2.553, -2.018, -1.753, 0.0, 1.0, 10.0, 16.0]",success
LESINURAD,-3.117,"[-3.117, -2.883, -2.455, -2.376, -2.105, 0.0, 1.0, 10.0, 16.0]",success
GRISEOFULVIN,-3.079,"[-3.079, 0.0, 0.148, 0.727, 1.0, 3.783, 5.537, 10.0, 16.0]",success
OXYPHENONIUM,-3.054,"[-3.054, -2.532, -2.293, -2.232, -1.616, 0.0, 1.0, 10.0, 16.0]",
ETIDOCAINE,-3.051,"[-3.051, -2.858, -2.848, -2.397, -2.189, 0.0, 1.0, 10.0, 16.0]",
TORSEMIDE,-2.961,"[-2.961, -2.544, -2.392, -2.239, -1.509, 0.0, 1.0, 10.0, 16.0]",success
ISRADIPINE,-2.759,"[-2.759, -2.436, -2.056, -1.894, -1.472, 1.0, 10.0, 16.0]",success
LORACARBEF ANHYDROUS,-2.681,"[-2.681, -0.466, 0.0, 0.29, 1.0, 2.314, 3.438, 10.0, 16.0]",
CLIDINIUM,-2.671,"[-2.671, -2.299, -1.655, -0.62, -0.211, 0.0, 1.0, 10.0, 16.0]",success
CELIPROLOL,-2.624,"[-2.624, -1.516, -1.147, 0.0, 1.0, 4.691, 5.249, 10.0, 16.0]",success
